,walker-stand,walker-walk,walker-run,cheetah-run,reacher-easy
episode_reward,989.1769409179688,978.9607543945312,617.5958862304688,148.05760192871094,981.4000244140625
episode_success,0.0,0.0,0.0,0.0,0.0
