Step,SHAC_SNUHumanoidEnv_sweep_2 - rewards,SHAC_SNUHumanoidEnv_sweep_2 - rewards__MIN,SHAC_SNUHumanoidEnv_sweep_2 - rewards__MAX,SHAC_SNUHumanoidEnv_sweep_1 - rewards,SHAC_SNUHumanoidEnv_sweep_1 - rewards__MIN,SHAC_SNUHumanoidEnv_sweep_1 - rewards__MAX,SHAC_SNUHumanoidEnv_sweep_0 - rewards,SHAC_SNUHumanoidEnv_sweep_0 - rewards__MIN,SHAC_SNUHumanoidEnv_sweep_0 - rewards__MAX,SHAC_SNUHumanoidEnv_sweep_4 - rewards,SHAC_SNUHumanoidEnv_sweep_4 - rewards__MIN,SHAC_SNUHumanoidEnv_sweep_4 - rewards__MAX,SHAC_SNUHumanoidEnv_sweep_3 - rewards,SHAC_SNUHumanoidEnv_sweep_3 - rewards__MIN,SHAC_SNUHumanoidEnv_sweep_3 - rewards__MAX
0,11.016785621643066,11.016785621643066,11.016785621643066,23.020830154418945,23.020830154418945,23.020830154418945,24.372047424316406,24.372047424316406,24.372047424316406,21.602134704589844,21.602134704589844,21.602134704589844,11.91137981414795,11.91137981414795,11.91137981414795
8192,15.4834623336792,15.4834623336792,15.4834623336792,19.836231231689453,19.836231231689453,19.836231231689453,28.56389045715332,28.56389045715332,28.56389045715332,21.71391868591309,21.71391868591309,21.71391868591309,17.541940689086914,17.541940689086914,17.541940689086914
16384,19.923768997192383,19.923768997192383,19.923768997192383,20.469995498657227,20.469995498657227,20.469995498657227,28.046390533447266,28.046390533447266,28.046390533447266,24.809022903442383,24.809022903442383,24.809022903442383,21.17647361755371,21.17647361755371,21.17647361755371
24576,25.05577278137207,25.05577278137207,25.05577278137207,25.277416229248047,25.277416229248047,25.277416229248047,28.88926124572754,28.88926124572754,28.88926124572754,26.360292434692383,26.360292434692383,26.360292434692383,23.699596405029297,23.699596405029297,23.699596405029297
32768,25.585453033447266,25.585453033447266,25.585453033447266,24.658403396606445,24.658403396606445,24.658403396606445,30.743202209472656,30.743202209472656,30.743202209472656,26.782705307006836,26.782705307006836,26.782705307006836,26.50518035888672,26.50518035888672,26.50518035888672
40960,26.538719177246097,26.538719177246097,26.538719177246097,30.97978782653809,30.97978782653809,30.97978782653809,34.63667297363281,34.63667297363281,34.63667297363281,30.734121322631836,30.734121322631836,30.734121322631836,26.610187530517575,26.610187530517575,26.610187530517575
49152,29.21754264831543,29.21754264831543,29.21754264831543,30.77324676513672,30.77324676513672,30.77324676513672,38.61848068237305,38.61848068237305,38.61848068237305,35.90875244140625,35.90875244140625,35.90875244140625,28.82287979125977,28.82287979125977,28.82287979125977
57344,34.493247985839844,34.493247985839844,34.493247985839844,28.1079044342041,28.1079044342041,28.1079044342041,39.732872009277344,39.732872009277344,39.732872009277344,37.74462890625,37.74462890625,37.74462890625,32.54269027709961,32.54269027709961,32.54269027709961
65536,35.297706604003906,35.297706604003906,35.297706604003906,30.434024810791016,30.434024810791016,30.434024810791016,37.63370513916016,37.63370513916016,37.63370513916016,36.43551254272461,36.43551254272461,36.43551254272461,35.87358093261719,35.87358093261719,35.87358093261719
73728,36.52606964111328,36.52606964111328,36.52606964111328,32.69968032836914,32.69968032836914,32.69968032836914,38.2574462890625,38.2574462890625,38.2574462890625,37.49817657470703,37.49817657470703,37.49817657470703,37.55709457397461,37.55709457397461,37.55709457397461
81920,37.650360107421875,37.650360107421875,37.650360107421875,33.29822540283203,33.29822540283203,33.29822540283203,37.68651580810547,37.68651580810547,37.68651580810547,39.55572891235352,39.55572891235352,39.55572891235352,37.374507904052734,37.374507904052734,37.374507904052734
90112,36.04150390625,36.04150390625,36.04150390625,34.18412780761719,34.18412780761719,34.18412780761719,38.728515625,38.728515625,38.728515625,41.78307342529297,41.78307342529297,41.78307342529297,38.35519790649414,38.35519790649414,38.35519790649414
98304,36.933570861816406,36.933570861816406,36.933570861816406,36.40096282958984,36.40096282958984,36.40096282958984,38.56305313110352,38.56305313110352,38.56305313110352,38.66040802001953,38.66040802001953,38.66040802001953,40.85710525512695,40.85710525512695,40.85710525512695
106496,36.82533264160156,36.82533264160156,36.82533264160156,38.25764465332031,38.25764465332031,38.25764465332031,42.20086288452149,42.20086288452149,42.20086288452149,38.07176971435547,38.07176971435547,38.07176971435547,40.32731628417969,40.32731628417969,40.32731628417969
114688,36.90366744995117,36.90366744995117,36.90366744995117,39.53452682495117,39.53452682495117,39.53452682495117,45.611053466796875,45.611053466796875,45.611053466796875,40.65908432006836,40.65908432006836,40.65908432006836,45.016868591308594,45.016868591308594,45.016868591308594
122880,36.934940338134766,36.934940338134766,36.934940338134766,44.31634140014648,44.31634140014648,44.31634140014648,50.47119903564453,50.47119903564453,50.47119903564453,45.77244186401367,45.77244186401367,45.77244186401367,44.28130340576172,44.28130340576172,44.28130340576172
