"Step","TDMPC2_walker-run_sweep_100k_2 - pretrain/episode_reward","TDMPC2_walker-run_sweep_100k_2 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_100k_2 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_100k_1 - pretrain/episode_reward","TDMPC2_walker-run_sweep_100k_1 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_100k_1 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_250k_0 - pretrain/episode_reward","TDMPC2_walker-run_sweep_250k_0 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_250k_0 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_50k_0 - pretrain/episode_reward","TDMPC2_walker-run_sweep_50k_0 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_50k_0 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_50k_2 - pretrain/episode_reward","TDMPC2_walker-run_sweep_50k_2 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_50k_2 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_50k_1 - pretrain/episode_reward","TDMPC2_walker-run_sweep_50k_1 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_50k_1 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_250k_2 - pretrain/episode_reward","TDMPC2_walker-run_sweep_250k_2 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_250k_2 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_250k_1 - pretrain/episode_reward","TDMPC2_walker-run_sweep_250k_1 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_250k_1 - pretrain/episode_reward__MAX","TDMPC2_walker-run_sweep_100k_0 - pretrain/episode_reward","TDMPC2_walker-run_sweep_100k_0 - pretrain/episode_reward__MIN","TDMPC2_walker-run_sweep_100k_0 - pretrain/episode_reward__MAX"
"0","18.405194672918878","18.405194672918878","18.405194672918878","23.4898121944163","23.4898121944163","23.4898121944163","28.15784028689377","28.15784028689377","28.15784028689377","28.678010735381395","28.678010735381395","28.678010735381395","17.22434723121114","17.22434723121114","17.22434723121114","22.5247084969189","22.5247084969189","22.5247084969189","17.533875926956533","17.533875926956533","17.533875926956533","24.824242809368297","24.824242809368297","24.824242809368297","25.71474257335067","25.71474257335067","25.71474257335067"
"2500","20.464795235707424","20.464795235707424","20.464795235707424","21.900433216290548","21.900433216290548","21.900433216290548","38.144795537134634","38.144795537134634","38.144795537134634","26.418201163387856","26.418201163387856","26.418201163387856","29.266507564578205","29.266507564578205","29.266507564578205","28.010899171605708","28.010899171605708","28.010899171605708","19.415068687219172","19.415068687219172","19.415068687219172","23.548319066432306","23.548319066432306","23.548319066432306","25.52427185426932","25.52427185426932","25.52427185426932"
"5000","18.288217376428655","18.288217376428655","18.288217376428655","11.758365003275685","11.758365003275685","11.758365003275685","26.193270391831174","26.193270391831174","26.193270391831174","27.33427501777187","27.33427501777187","27.33427501777187","16.24153573855292","16.24153573855292","16.24153573855292","15.460951091628521","15.460951091628521","15.460951091628521","11.763516755937598","11.763516755937598","11.763516755937598","36.3853007290978","36.3853007290978","36.3853007290978","13.077156790508889","13.077156790508889","13.077156790508889"
"7500","13.24414558908902","13.24414558908902","13.24414558908902","17.112539083650336","17.112539083650336","17.112539083650336","15.576212839921936","15.576212839921936","15.576212839921936","12.821703479206189","12.821703479206189","12.821703479206189","17.898182703577913","17.898182703577913","17.898182703577913","20.52361424455885","20.52361424455885","20.52361424455885","23.391501488513313","23.391501488513313","23.391501488513313","21.994803406647407","21.994803406647407","21.994803406647407","15.524805565457791","15.524805565457791","15.524805565457791"
"10000","16.65485622412525","16.65485622412525","16.65485622412525","34.9420214488171","34.9420214488171","34.9420214488171","13.922116466541775","13.922116466541775","13.922116466541775","59.364889936964026","59.364889936964026","59.364889936964026","30.760331141157074","30.760331141157074","30.760331141157074","81.47995500713587","81.47995500713587","81.47995500713587","12.060960748512297","12.060960748512297","12.060960748512297","17.539058592403308","17.539058592403308","17.539058592403308","13.698460486973635","13.698460486973635","13.698460486973635"
"12500","21.943455006787552","21.943455006787552","21.943455006787552","14.729477372393012","14.729477372393012","14.729477372393012","19.204220044170505","19.204220044170505","19.204220044170505","20.75335505809635","20.75335505809635","20.75335505809635","24.085066995071248","24.085066995071248","24.085066995071248","21.71843998366967","21.71843998366967","21.71843998366967","13.362044019484893","13.362044019484893","13.362044019484893","20.339047565031798","20.339047565031798","20.339047565031798","40.3944143590983","40.3944143590983","40.3944143590983"
"15000","34.215398187562826","34.215398187562826","34.215398187562826","42.541971691721116","42.541971691721116","42.541971691721116","44.17185103353113","44.17185103353113","44.17185103353113","28.513380330312067","28.513380330312067","28.513380330312067","79.69427983481437","79.69427983481437","79.69427983481437","22.91283086319454","22.91283086319454","22.91283086319454","102.38702174643986","102.38702174643986","102.38702174643986","21.64340105955489","21.64340105955489","21.64340105955489","17.962640704587102","17.962640704587102","17.962640704587102"
"17500","58.550182505557316","58.550182505557316","58.550182505557316","25.89609879532363","25.89609879532363","25.89609879532363","39.55434615882113","39.55434615882113","39.55434615882113","19.269158290186898","19.269158290186898","19.269158290186898","13.428978542424739","13.428978542424739","13.428978542424739","74.73476876905188","74.73476876905188","74.73476876905188","52.69948625555262","52.69948625555262","52.69948625555262","19.857056360156275","19.857056360156275","19.857056360156275","32.78725495818071","32.78725495818071","32.78725495818071"
"20000","100.3328538831789","100.3328538831789","100.3328538831789","47.49182880318258","47.49182880318258","47.49182880318258","73.7605854754569","73.7605854754569","73.7605854754569","49.794255742523816","49.794255742523816","49.794255742523816","98.64905336736702","98.64905336736702","98.64905336736702","66.47895029773936","66.47895029773936","66.47895029773936","102.53966738893651","102.53966738893651","102.53966738893651","102.76347663290798","102.76347663290798","102.76347663290798","41.66047568235081","41.66047568235081","41.66047568235081"
"22500","79.39671235019341","79.39671235019341","79.39671235019341","135.33584774234333","135.33584774234333","135.33584774234333","53.47659217505716","53.47659217505716","53.47659217505716","74.59521135683171","74.59521135683171","74.59521135683171","65.34325805027038","65.34325805027038","65.34325805027038","108.14661090064328","108.14661090064328","108.14661090064328","115.03938316504937","115.03938316504937","115.03938316504937","108.38955882114824","108.38955882114824","108.38955882114824","85.73803617646918","85.73803617646918","85.73803617646918"
"25000","53.76991302424576","53.76991302424576","53.76991302424576","119.88853257759475","119.88853257759475","119.88853257759475","108.91234540937003","108.91234540937003","108.91234540937003","80.61255685414653","80.61255685414653","80.61255685414653","81.27488548567052","81.27488548567052","81.27488548567052","75.43035459623206","75.43035459623206","75.43035459623206","112.19089502075221","112.19089502075221","112.19089502075221","118.52190563133918","118.52190563133918","118.52190563133918","77.75929300065619","77.75929300065619","77.75929300065619"
"27500","90.90925880242139","90.90925880242139","90.90925880242139","66.90992009046022","66.90992009046022","66.90992009046022","84.2465850284556","84.2465850284556","84.2465850284556","60.914065423840654","60.914065423840654","60.914065423840654","61.72146617223043","61.72146617223043","61.72146617223043","44.005699599022044","44.005699599022044","44.005699599022044","119.83845805134624","119.83845805134624","119.83845805134624","113.7601098225452","113.7601098225452","113.7601098225452","82.58661103157792","82.58661103157792","82.58661103157792"
"30000","153.21274873886722","153.21274873886722","153.21274873886722","64.59829549361021","64.59829549361021","64.59829549361021","106.44829558343626","106.44829558343626","106.44829558343626","92.2213324600365","92.2213324600365","92.2213324600365","94.36292008839082","94.36292008839082","94.36292008839082","37.00729968440719","37.00729968440719","37.00729968440719","127.72695681462065","127.72695681462065","127.72695681462065","105.2005331430817","105.2005331430817","105.2005331430817","98.72596911075524","98.72596911075524","98.72596911075524"
"32500","112.45434372462333","112.45434372462333","112.45434372462333","129.46950885709376","129.46950885709376","129.46950885709376","104.24227714494336","104.24227714494336","104.24227714494336","133.5049176490633","133.5049176490633","133.5049176490633","77.90512018180452","77.90512018180452","77.90512018180452","120.26298877564258","120.26298877564258","120.26298877564258","139.39877422628925","139.39877422628925","139.39877422628925","121.53810980727431","121.53810980727431","121.53810980727431","73.90627568869385","73.90627568869385","73.90627568869385"
"35000","96.20478961050976","96.20478961050976","96.20478961050976","74.78459542437922","74.78459542437922","74.78459542437922","118.63772661886178","118.63772661886178","118.63772661886178","111.36721440323163","111.36721440323163","111.36721440323163","97.85267527117394","97.85267527117394","97.85267527117394","124.83688951414078","124.83688951414078","124.83688951414078","133.69416972908658","133.69416972908658","133.69416972908658","141.58147514460143","141.58147514460143","141.58147514460143","136.39280222004746","136.39280222004746","136.39280222004746"
"37500","171.02376158924307","171.02376158924307","171.02376158924307","161.32595808161423","161.32595808161423","161.32595808161423","149.7338946013944","149.7338946013944","149.7338946013944","166.91490114843472","166.91490114843472","166.91490114843472","119.42397629250772","119.42397629250772","119.42397629250772","163.1814455449581","163.1814455449581","163.1814455449581","164.57680885517038","164.57680885517038","164.57680885517038","167.71781495744364","167.71781495744364","167.71781495744364","44.586931732692754","44.586931732692754","44.586931732692754"
"40000","199.03520182059145","199.03520182059145","199.03520182059145","156.497149676783","156.497149676783","156.497149676783","133.87681453670376","133.87681453670376","133.87681453670376","162.1850987583166","162.1850987583166","162.1850987583166","107.75143879384268","107.75143879384268","107.75143879384268","138.56152964837383","138.56152964837383","138.56152964837383","148.07901181213091","148.07901181213091","148.07901181213091","167.02083836004604","167.02083836004604","167.02083836004604","125.72440568991006","125.72440568991006","125.72440568991006"
"42500","203.09260553787462","203.09260553787462","203.09260553787462","130.8837901149178","130.8837901149178","130.8837901149178","160.6719168676762","160.6719168676762","160.6719168676762","162.60394018101505","162.60394018101505","162.60394018101505","122.3198063286487","122.3198063286487","122.3198063286487","130.66373256063088","130.66373256063088","130.66373256063088","178.47149002014194","178.47149002014194","178.47149002014194","143.52228118777276","143.52228118777276","143.52228118777276","117.56747849043458","117.56747849043458","117.56747849043458"
"45000","165.2681595457252","165.2681595457252","165.2681595457252","158.4288493043976","158.4288493043976","158.4288493043976","149.7192924009636","149.7192924009636","149.7192924009636","180.44589136987923","180.44589136987923","180.44589136987923","114.59760780001525","114.59760780001525","114.59760780001525","59.582900775480084","59.582900775480084","59.582900775480084","185.70441219115165","185.70441219115165","185.70441219115165","120.0910509841051","120.0910509841051","120.0910509841051","138.3422028809553","138.3422028809553","138.3422028809553"
"47500","192.32233855521773","192.32233855521773","192.32233855521773","156.26442613364196","156.26442613364196","156.26442613364196","207.48876228223088","207.48876228223088","207.48876228223088","168.78421795535832","168.78421795535832","168.78421795535832","152.86777542266063","152.86777542266063","152.86777542266063","143.6870500372257","143.6870500372257","143.6870500372257","192.86947405573446","192.86947405573446","192.86947405573446","158.81867853829172","158.81867853829172","158.81867853829172","134.78423508957493","134.78423508957493","134.78423508957493"
